-664,-5121,1.550000
-393,-4812,1.884000
-405,-3949,2.552000
-2193,-2507,-1.947000
-2211,-2395,-1.962000
-2165,-2426,-1.954000
-2543,-2450,-1.706000
-2957,-3100,-1.034000
-2990,-4151,-0.261000
-1321,-5133,1.185000
-1313,-5176,1.182000
-1210,-5185,1.216000
-725,-5012,1.663000
-218,-4293,2.348000
-340,-3842,2.697000
-606,-3086,-2.839000
-1124,-2717,-2.543000
-2180,-2575,-1.846000
-2835,-3031,-1.233000
-2899,-4009,-0.467000
-2772,-4518,-0.112000
-2050,-5205,0.592000
-1347,-5197,1.233000
-498,-5061,1.699000
-344,-4283,2.357000
-363,-3461,3.042000
-2477,-2802,-1.620000
-2540,-2803,-1.633000
-2512,-2819,-1.558000
-2866,-3235,-1.083000
-2891,-3733,-0.728000
-2932,-4233,-0.222000
-2202,-5122,0.490000
-1277,-5235,1.211000
-470,-4472,2.186000
-347,-4348,2.298000
-1233,-2808,-2.725000
-1130,-2793,-2.696000
-2291,-2551,-1.837000
-2354,-2465,-1.863000
-2338,-2499,-1.817000
-2599,-3004,-1.328000
-2702,-3302,-0.979000
-2631,-4288,-0.235000
-2649,-4587,0.076000
-1738,-5081,0.795000
-1119,-5261,1.162000
-698,-4703,1.812000
-541,-4049,2.487000
-1219,-2694,-2.662000
-1124,-2731,-2.640000
-1693,-2507,-2.268000
-2066,-2455,-2.004000
-2843,-2886,-1.303000
-2985,-3860,-0.567000
-2734,-4345,-0.191000
-2111,-5079,0.513000
-1302,-5223,1.198000
-696,-5013,1.552000
-383,-4404,2.243000
-357,-3928,2.594000
-751,-3042,-3.000000
-2326,-2439,-1.865000
-2401,-2519,-1.799000
-2631,-2661,-1.586000
-2956,-3907,-0.528000
-2890,-4294,-0.230000
-2557,-4854,0.282000
-1801,-5339,0.689000
-1341,-5264,1.292000
-633,-4839,1.935000
-562,-4418,2.262000
-451,-3602,2.980000
-809,-3200,-2.993000
-1877,-2396,-2.385000
-2608,-2762,-1.652000
-2849,-3596,-0.854000
-3183,-3790,-0.644000
-2938,-4432,-0.117000
-2131,-5225,0.588000
-1807,-5377,0.934000
-766,-5198,1.676000
-619,-4696,1.993000
-625,-3932,2.654000
-1081,-3016,-2.955000
-1460,-2760,-2.600000
-2382,-2613,-1.913000
-3003,-3182,-1.180000
-3153,-3579,-0.819000
-3141,-4460,-0.139000
-2495,-5055,0.266000
-1598,-5431,0.971000
-961,-5161,1.649000
-634,-4424,2.323000
-638,-4018,2.631000
-942,-3304,-3.064000
-1337,-2900,-2.771000
-2243,-2624,-2.080000
-2667,-2812,-1.723000
-2937,-4151,-0.564000
-2949,-4503,-0.241000
-2411,-5239,0.360000
-1609,-5549,0.941000
-771,-4942,1.992000
-734,-4970,2.004000
-672,-4891,2.032000
-617,-4394,2.460000
-423,-4092,2.814000
-1041,-3123,-2.780000
-1972,-2887,-2.071000
-2498,-2891,-1.800000
-3018,-4294,-0.459000
-3135,-4341,-0.410000
-2821,-4751,-0.179000
-2237,-5417,0.439000
-1760,-5703,0.821000
-1000,-5449,1.521000
-452,-5354,1.912000
-611,-4407,2.538000
-703,-3988,2.877000
-1497,-3070,-2.731000
-2282,-2931,-2.051000
-2637,-3189,-1.674000
-2903,-4681,-0.286000
-2800,-5033,-0.013000
-2520,-5315,0.244000
-2086,-5662,0.505000
-1478,-5743,1.110000
-997,-5788,1.465000
-471,-5030,2.177000
-624,-4250,2.851000
-1216,-3388,-2.733000
-2119,-3051,-2.298000
-2369,-3131,-2.014000
-3090,-3370,-1.368000
-3065,-4282,-0.580000
-3008,-4795,-0.232000
-2327,-5639,0.465000
-1536,-5785,1.171000
-1050,-5650,1.536000
-577,-4214,2.877000
